node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Promotion Challenged Due to Qualification Relaxation,CaseFact,Promotion Challenged Due to Qualification Relaxation,PC_Criminal,pc,Promotion Challenged Due to Qualification Relaxation,,,,,,,,
PC::Appellants Did Not Fulfill Required Qualifications,CaseFact,Appellants Did Not Fulfill Required Qualifications,PC_Criminal,pc,Appellants Did Not Fulfill Required Qualifications,,,,,,,,
PC::Government Extended Relaxation for Career Progression,CaseFact,Government Extended Relaxation for Career Progression,PC_Criminal,pc,Government Extended Relaxation for Career Progression,,,,,,,,
PC::Section 4 of the Recruitment Rules,LegalProvision,Section 4 of the Recruitment Rules,PC_Criminal,pc,Section 4 of the Recruitment Rules,,,,,,,,
PC::High Court Noted Availability of Qualified Candidates,CaseFact,High Court Noted Availability of Qualified Candidates,PC_Criminal,pc,High Court Noted Availability of Qualified Candidates,,,,,,,,
PC::Teacher Terminated Due to Reduction in Student Strength,CaseFact,Teacher Terminated Due to Reduction in Student Strength,PC_Criminal,pc,Teacher Terminated Due to Reduction in Student Strength,,,,,,,,
PC::High Court Directed Reinstatement with Backwages,CaseFact,High Court Directed Reinstatement with Backwages,PC_Criminal,pc,High Court Directed Reinstatement with Backwages,,,,,,,,
PC::Municipal Corporation Ordered to Pay Backwages,CaseFact,Municipal Corporation Ordered to Pay Backwages,PC_Criminal,pc,Municipal Corporation Ordered to Pay Backwages,,,,,,,,
PC::School Management Accepted High Court Judgment,CaseFact,School Management Accepted High Court Judgment,PC_Criminal,pc,School Management Accepted High Court Judgment,,,,,,,,
PC::Enquiry Against Corporation Officers Directed by High Court,CaseFact,Enquiry Against Corporation Officers Directed by High Court,PC_Criminal,pc,Enquiry Against Corporation Officers Directed by High Court,,,,,,,,
PC::Rule 20 of Appendix-VII of the Grant-in-Aid Code,LegalProvision,Rule 20 of Appendix-VII of the Grant-in-Aid Code,PC_Criminal,pc,Rule 20 of Appendix-VII of the Grant-in-Aid Code,,,,,,,,
PC::Prosecutrix Identified All Accused,CaseFact,Prosecutrix Identified All Accused,PC_Criminal,pc,Prosecutrix Identified All Accused,,,,,,,,
PC::Incident Involved Forcible Rape,CaseFact,Incident Involved Forcible Rape,PC_Criminal,pc,Incident Involved Forcible Rape,,,,,,,,
PC::Medical Evidence Corroborated Prosecutrix Version,CaseFact,Medical Evidence Corroborated Prosecutrix Version,PC_Criminal,pc,Medical Evidence Corroborated Prosecutrix Version,,,,,,,,
PC::Appeal Filed Against High Court Judgment,CaseFact,Appeal Filed Against High Court Judgment,PC_Criminal,pc,Appeal Filed Against High Court Judgment,,,,,,,,
PC::Refund Claim Filed,CaseFact,Refund Claim Filed,PC_Criminal,pc,Refund Claim Filed,,,,,,,,
PC::High Court Directed Grant of Interest,CaseFact,High Court Directed Grant of Interest,PC_Criminal,pc,High Court Directed Grant of Interest,,,,,,,,
PC::Interest Payable from Date of Rejection,CaseFact,Interest Payable from Date of Rejection,PC_Criminal,pc,Interest Payable from Date of Rejection,,,,,,,,
PC::Statutory Interest Under Section 11 BB Considered,LegalProvision,Statutory Interest Under Section 11 BB Considered,PC_Criminal,pc,Statutory Interest Under Section 11 BB Considered,,,,,,,,
PC::Informant Injured by Accused,CaseFact,Informant Injured by Accused,PC_Criminal,pc,Informant Injured by Accused,,,,,,,,
PC::High Court Directed Acquittal,CaseFact,High Court Directed Acquittal,PC_Criminal,pc,High Court Directed Acquittal,,,,,,,,
PC::Delay in FIR Registration Not Explained,CaseFact,Delay in FIR Registration Not Explained,PC_Criminal,pc,Delay in FIR Registration Not Explained,,,,,,,,
PC::Medical Evidence Contradicted Testimony,CaseFact,Medical Evidence Contradicted Testimony,PC_Criminal,pc,Medical Evidence Contradicted Testimony,,,,,,,,
PC::High Court Quashed Judicial Magistrate Order,LegalProvision,High Court Quashed Judicial Magistrate Order,PC_Criminal,pc,High Court Quashed Judicial Magistrate Order,,,,,,,,
PC::Complaint Registered as FIR Ordered,CaseFact,Complaint Registered as FIR Ordered,PC_Criminal,pc,Complaint Registered as FIR Ordered,,,,,,,,
PC::High Court Directed Inquiry Under Section 156(3),LegalProvision,High Court Directed Inquiry Under Section 156(3),PC_Criminal,pc,High Court Directed Inquiry Under Section 156(3),,,,,,,,
PC::Prima Facie Offence Found by Magistrate,CaseFact,Prima Facie Offence Found by Magistrate,PC_Criminal,pc,Prima Facie Offence Found by Magistrate,,,,,,,,
"PC::Section 156(3) of the Code of Criminal Procedure, 1973",LegalProvision,"Section 156(3) of the Code of Criminal Procedure, 1973",PC_Criminal,pc,"Section 156(3) of the Code of Criminal Procedure, 1973",,,,,,,,
"PC::Section 202 of the Code of Criminal Procedure, 1973",LegalProvision,"Section 202 of the Code of Criminal Procedure, 1973",PC_Criminal,pc,"Section 202 of the Code of Criminal Procedure, 1973",,,,,,,,
PC::District Forum Dismissed Complaint Due to Forged Licence,CaseFact,District Forum Dismissed Complaint Due to Forged Licence,PC_Criminal,pc,District Forum Dismissed Complaint Due to Forged Licence,,,,,,,,
PC::State Commission Reversed Dismissal Based on Precedent,CaseFact,State Commission Reversed Dismissal Based on Precedent,PC_Criminal,pc,State Commission Reversed Dismissal Based on Precedent,,,,,,,,
PC::Insurer Not Liable if Licence Proven Fake,CaseFact,Insurer Not Liable if Licence Proven Fake,PC_Criminal,pc,Insurer Not Liable if Licence Proven Fake,,,,,,,,
PC::National Insurance Company Limited vs. Laxmi Narain Dhut,CaseFact,National Insurance Company Limited vs. Laxmi Narain Dhut,PC_Criminal,pc,National Insurance Company Limited vs. Laxmi Narain Dhut,,,,,,,,
PC::High Court Dismissed Application for Leave to Appeal,CaseFact,High Court Dismissed Application for Leave to Appeal,PC_Criminal,pc,High Court Dismissed Application for Leave to Appeal,,,,,,,,
PC::Trial Court Acquitted Respondent Due to Lack of Evidence,CaseFact,Trial Court Acquitted Respondent Due to Lack of Evidence,PC_Criminal,pc,Trial Court Acquitted Respondent Due to Lack of Evidence,,,,,,,,
PC::Show Cause Notice Issued Alleging Mis-declaration,CaseFact,Show Cause Notice Issued Alleging Mis-declaration,PC_Criminal,pc,Show Cause Notice Issued Alleging Mis-declaration,,,,,,,,
PC::Commissioner Found Mis-declaration of Goods,CaseFact,Commissioner Found Mis-declaration of Goods,PC_Criminal,pc,Commissioner Found Mis-declaration of Goods,,,,,,,,
PC::Tribunal Held No Mis-declaration Found,CaseFact,Tribunal Held No Mis-declaration Found,PC_Criminal,pc,Tribunal Held No Mis-declaration Found,,,,,,,,
PC::Tribunal Judgment Considered Perfuntory,CaseFact,Tribunal Judgment Considered Perfuntory,PC_Criminal,pc,Tribunal Judgment Considered Perfuntory,,,,,,,,
PC::Respondent Worked as Manager of Bank,CaseFact,Respondent Worked as Manager of Bank,PC_Criminal,pc,Respondent Worked as Manager of Bank,,,,,,,,
PC::Charges Framed Under Prevention of Corruption Act,LegalProvision,Charges Framed Under Prevention of Corruption Act,PC_Criminal,pc,Charges Framed Under Prevention of Corruption Act,,,,,,,,
PC::Public Servant Definition Disputed,CaseFact,Public Servant Definition Disputed,PC_Criminal,pc,Public Servant Definition Disputed,,,,,,,,
PC::Affidavit Filed by Managing Director,CaseFact,Affidavit Filed by Managing Director,PC_Criminal,pc,Affidavit Filed by Managing Director,,,,,,,,
"PC::Section 2(c)(ix) of the Prevention of Corruption Act, 1988",LegalProvision,"Section 2(c)(ix) of the Prevention of Corruption Act, 1988",PC_Criminal,pc,"Section 2(c)(ix) of the Prevention of Corruption Act, 1988",,,,,,,,
"PC::Section 617 of the Companies Act, 1956",LegalProvision,"Section 617 of the Companies Act, 1956",PC_Criminal,pc,"Section 617 of the Companies Act, 1956",,,,,,,,
"PC::Punjab Cooperative Agricultural Development Banks Act, 1957",LegalProvision,"Punjab Cooperative Agricultural Development Banks Act, 1957",PC_Criminal,pc,"Punjab Cooperative Agricultural Development Banks Act, 1957",,,,,,,,
PC::Respondent Suspended Pending Enquiry,CaseFact,Respondent Suspended Pending Enquiry,PC_Criminal,pc,Respondent Suspended Pending Enquiry,,,,,,,,
PC::FIR Lodged by Bank with CBI,CaseFact,FIR Lodged by Bank with CBI,PC_Criminal,pc,FIR Lodged by Bank with CBI,,,,,,,,
PC::Respondent Claimed Full Pay After One Year,CaseFact,Respondent Claimed Full Pay After One Year,PC_Criminal,pc,Respondent Claimed Full Pay After One Year,,,,,,,,
PC::High Court Allowed Writ Petition for Full Pay,CaseFact,High Court Allowed Writ Petition for Full Pay,PC_Criminal,pc,High Court Allowed Writ Petition for Full Pay,,,,,,,,
PC::Bank Argued Clause 5(a) Inapplicable,LegalProvision,Bank Argued Clause 5(a) Inapplicable,PC_Criminal,pc,Bank Argued Clause 5(a) Inapplicable,,,,,,,,
PC::Interpretation of Bipartite Settlement in Dispute,CaseFact,Interpretation of Bipartite Settlement in Dispute,PC_Criminal,pc,Interpretation of Bipartite Settlement in Dispute,,,,,,,,
PC::Clause 5 of Bipartite Settlement dated 8.9.1983,LegalProvision,Clause 5 of Bipartite Settlement dated 8.9.1983,PC_Criminal,pc,Clause 5 of Bipartite Settlement dated 8.9.1983,,,,,,,,
PC::Para 557 of Sastry Award,CaseFact,Para 557 of Sastry Award,PC_Criminal,pc,Para 557 of Sastry Award,,,,,,,,
PC::Para 17.14 of Desai Award,CaseFact,Para 17.14 of Desai Award,PC_Criminal,pc,Para 17.14 of Desai Award,,,,,,,,
PC::Selection Process Found Flawed,CaseFact,Selection Process Found Flawed,PC_Criminal,pc,Selection Process Found Flawed,,,,,,,,
PC::Regulations Amended Affecting Selection Criteria,LegalProvision,Regulations Amended Affecting Selection Criteria,PC_Criminal,pc,Regulations Amended Affecting Selection Criteria,,,,,,,,
PC::High Court Dismissed Criminal Revision Petition,CaseFact,High Court Dismissed Criminal Revision Petition,PC_Criminal,pc,High Court Dismissed Criminal Revision Petition,,,,,,,,
PC::Trial Court Findings Confirmed,CaseFact,Trial Court Findings Confirmed,PC_Criminal,pc,Trial Court Findings Confirmed,,,,,,,,
PC::Triable Issue Raised in Defence,CaseFact,Triable Issue Raised in Defence,PC_Criminal,pc,Triable Issue Raised in Defence,,,,,,,,
PC::Defendant Admitted Part of Claim,CaseFact,Defendant Admitted Part of Claim,PC_Criminal,pc,Defendant Admitted Part of Claim,,,,,,,,
PC::High Court Modified Leave to Defend,CaseFact,High Court Modified Leave to Defend,PC_Criminal,pc,High Court Modified Leave to Defend,,,,,,,,
PC::Deposit Condition Imposed for Leave to Defend,CaseFact,Deposit Condition Imposed for Leave to Defend,PC_Criminal,pc,Deposit Condition Imposed for Leave to Defend,,,,,,,,
PC::Appeal Disposed in Absence of Appellant,CaseFact,Appeal Disposed in Absence of Appellant,PC_Criminal,pc,Appeal Disposed in Absence of Appellant,,,,,,,,
PC::Delay in Lodging FIR,CaseFact,Delay in Lodging FIR,PC_Criminal,pc,Delay in Lodging FIR,,,,,,,,
PC::Prosecution Failed to Establish Accusations,CaseFact,Prosecution Failed to Establish Accusations,PC_Criminal,pc,Prosecution Failed to Establish Accusations,,,,,,,,
PC::Delay in Sending Report to Magistrate,CaseFact,Delay in Sending Report to Magistrate,PC_Criminal,pc,Delay in Sending Report to Magistrate,,,,,,,,
PC::Eye-Witness Evidence Not Credible,CaseFact,Eye-Witness Evidence Not Credible,PC_Criminal,pc,Eye-Witness Evidence Not Credible,,,,,,,,
"PC::Section 302 read with Section 34 of the Indian Penal Code, 1860",LegalProvision,"Section 302 read with Section 34 of the Indian Penal Code, 1860",PC_Criminal,pc,"Section 302 read with Section 34 of the Indian Penal Code, 1860",,,,,,,,
PC::Strained Relations Between Accused and Deceased,CaseFact,Strained Relations Between Accused and Deceased,PC_Criminal,pc,Strained Relations Between Accused and Deceased,,,,,,,,
PC::Accused Present Alone with Deceased at Time of Incident,CaseFact,Accused Present Alone with Deceased at Time of Incident,PC_Criminal,pc,Accused Present Alone with Deceased at Time of Incident,,,,,,,,
PC::Quarrels Heard by Witnesses,CaseFact,Quarrels Heard by Witnesses,PC_Criminal,pc,Quarrels Heard by Witnesses,,,,,,,,
PC::Accused Failed to Explain Presence,CaseFact,Accused Failed to Explain Presence,PC_Criminal,pc,Accused Failed to Explain Presence,,,,,,,,
PC::Closed Doors Indicate Possible Escape,CaseFact,Closed Doors Indicate Possible Escape,PC_Criminal,pc,Closed Doors Indicate Possible Escape,,,,,,,,
PC::Death Found to be Homicidal,CaseFact,Death Found to be Homicidal,PC_Criminal,pc,Death Found to be Homicidal,,,,,,,,
PC::Injury on Accused Consistent with Prosecution Case,CaseFact,Injury on Accused Consistent with Prosecution Case,PC_Criminal,pc,Injury on Accused Consistent with Prosecution Case,,,,,,,,
PC::Blood Found on Accused's Wristwatch,CaseFact,Blood Found on Accused's Wristwatch,PC_Criminal,pc,Blood Found on Accused's Wristwatch,,,,,,,,
PC::False Defence Taken by Accused,CaseFact,False Defence Taken by Accused,PC_Criminal,pc,False Defence Taken by Accused,,,,,,,,
"PC::Section 313 of the Code of Criminal Procedure, 1973",LegalProvision,"Section 313 of the Code of Criminal Procedure, 1973",PC_Criminal,pc,"Section 313 of the Code of Criminal Procedure, 1973",,,,,,,,
PC::Promotion Sought for UDC Position,CaseFact,Promotion Sought for UDC Position,PC_Criminal,pc,Promotion Sought for UDC Position,,,,,,,,
PC::Delay in Promotion Application,CaseFact,Delay in Promotion Application,PC_Criminal,pc,Delay in Promotion Application,,,,,,,,
PC::Statutory Rule for Promotion Applicable,LegalProvision,Statutory Rule for Promotion Applicable,PC_Criminal,pc,Statutory Rule for Promotion Applicable,,,,,,,,
PC::Promotion Granted with Retrospective Effect,CaseFact,Promotion Granted with Retrospective Effect,PC_Criminal,pc,Promotion Granted with Retrospective Effect,,,,,,,,
PC::Benefits Already Received by Appellants,CaseFact,Benefits Already Received by Appellants,PC_Criminal,pc,Benefits Already Received by Appellants,,,,,,,,
PC::High Court Found Evidence Not Reliable,CaseFact,High Court Found Evidence Not Reliable,PC_Criminal,pc,High Court Found Evidence Not Reliable,,,,,,,,
PC::Medical Evidence Contradicted Prosecution Story,CaseFact,Medical Evidence Contradicted Prosecution Story,PC_Criminal,pc,Medical Evidence Contradicted Prosecution Story,,,,,,,,
PC::Acquittal Ordered by High Court,CaseFact,Acquittal Ordered by High Court,PC_Criminal,pc,Acquittal Ordered by High Court,,,,,,,,
PC::Public Auction Ordered for Perishable Item,CaseFact,Public Auction Ordered for Perishable Item,PC_Criminal,pc,Public Auction Ordered for Perishable Item,,,,,,,,
PC::Sale Proceeds to be Deposited in Court,CaseFact,Sale Proceeds to be Deposited in Court,PC_Criminal,pc,Sale Proceeds to be Deposited in Court,,,,,,,,
PC::Responsibility for Loss Clarified,CaseFact,Responsibility for Loss Clarified,PC_Criminal,pc,Responsibility for Loss Clarified,,,,,,,,
PC::Respondent Found Not Guilty of Rash Driving,CaseFact,Respondent Found Not Guilty of Rash Driving,PC_Criminal,pc,Respondent Found Not Guilty of Rash Driving,,,,,,,,
PC::Eyewitness Testimony Not Supportive of Prosecution,CaseFact,Eyewitness Testimony Not Supportive of Prosecution,PC_Criminal,pc,Eyewitness Testimony Not Supportive of Prosecution,,,,,,,,
PC::Dying Declaration Lacked Specifics on Negligence,CaseFact,Dying Declaration Lacked Specifics on Negligence,PC_Criminal,pc,Dying Declaration Lacked Specifics on Negligence,,,,,,,,
"PC::Section 279 of the Indian Penal Code, 1861",LegalProvision,"Section 279 of the Indian Penal Code, 1861",PC_Criminal,pc,"Section 279 of the Indian Penal Code, 1861",,,,,,,,
"PC::Section 304A of the Indian Penal Code, 1861",LegalProvision,"Section 304A of the Indian Penal Code, 1861",PC_Criminal,pc,"Section 304A of the Indian Penal Code, 1861",,,,,,,,
PC::Accusations Found Without Substance,CaseFact,Accusations Found Without Substance,PC_Criminal,pc,Accusations Found Without Substance,,,,,,,,
PC::Trial Court Held No Material Evidence,CaseFact,Trial Court Held No Material Evidence,PC_Criminal,pc,Trial Court Held No Material Evidence,,,,,,,,
PC::High Court Upheld Trial Court Findings,CaseFact,High Court Upheld Trial Court Findings,PC_Criminal,pc,High Court Upheld Trial Court Findings,,,,,,,,
PC::Parties Agreed to Withdraw Complaints,CaseFact,Parties Agreed to Withdraw Complaints,PC_Criminal,pc,Parties Agreed to Withdraw Complaints,,,,,,,,
PC::Parties Living Together Since July 2008,CaseFact,Parties Living Together Since July 2008,PC_Criminal,pc,Parties Living Together Since July 2008,,,,,,,,
PC::Counseling Required to Avoid Violence,CaseFact,Counseling Required to Avoid Violence,PC_Criminal,pc,Counseling Required to Avoid Violence,,,,,,,,
PC::FIR Pending for Quashing,CaseFact,FIR Pending for Quashing,PC_Criminal,pc,FIR Pending for Quashing,,,,,,,,
PC::Petitioner Withdraws Maintenance Petition,CaseFact,Petitioner Withdraws Maintenance Petition,PC_Criminal,pc,Petitioner Withdraws Maintenance Petition,,,,,,,,
PC::Acquittal of Accused Nos. 5 to 9,CaseFact,Acquittal of Accused Nos. 5 to 9,PC_Criminal,pc,Acquittal of Accused Nos. 5 to 9,,,,,,,,
PC::Trial Court Found Accused Nos. 1 to 4 Guilty,CaseFact,Trial Court Found Accused Nos. 1 to 4 Guilty,PC_Criminal,pc,Trial Court Found Accused Nos. 1 to 4 Guilty,,,,,,,,
PC::Violence During Election Period,CaseFact,Violence During Election Period,PC_Criminal,pc,Violence During Election Period,,,,,,,,
PC::Serious Injuries Sustained by Employees,CaseFact,Serious Injuries Sustained by Employees,PC_Criminal,pc,Serious Injuries Sustained by Employees,,,,,,,,
PC::Affidavit Filed by Ch. Srilatha,CaseFact,Affidavit Filed by Ch. Srilatha,PC_Criminal,pc,Affidavit Filed by Ch. Srilatha,,,,,,,,
PC::Prosecution Under IPC Sections 174 and 175 Considered,LegalProvision,Prosecution Under IPC Sections 174 and 175 Considered,PC_Criminal,pc,Prosecution Under IPC Sections 174 and 175 Considered,,,,,,,,
PC::Statements Made by Ch. Srilatha Found Incorrect,CaseFact,Statements Made by Ch. Srilatha Found Incorrect,PC_Criminal,pc,Statements Made by Ch. Srilatha Found Incorrect,,,,,,,,
PC::High Court Granted Bail Without Reasoning,CaseFact,High Court Granted Bail Without Reasoning,PC_Criminal,pc,High Court Granted Bail Without Reasoning,,,,,,,,
PC::Criminal Antecedents of Respondent Not Considered,CaseFact,Criminal Antecedents of Respondent Not Considered,PC_Criminal,pc,Criminal Antecedents of Respondent Not Considered,,,,,,,,
"PC::Section 439 of the Code of Criminal Procedure, 1973",LegalProvision,"Section 439 of the Code of Criminal Procedure, 1973",PC_Criminal,pc,"Section 439 of the Code of Criminal Procedure, 1973",,,,,,,,
PC::Prosecutrix Age Above 16,CaseFact,Prosecutrix Age Above 16,PC_Criminal,pc,Prosecutrix Age Above 16,,,,,,,,
PC::Trial Court Found No Consent Established,CaseFact,Trial Court Found No Consent Established,PC_Criminal,pc,Trial Court Found No Consent Established,,,,,,,,
PC::High Court Dismissed Appeal on Cryptic Grounds,CaseFact,High Court Dismissed Appeal on Cryptic Grounds,PC_Criminal,pc,High Court Dismissed Appeal on Cryptic Grounds,,,,,,,,
PC::Insufficient Evidence of Consent Presented,CaseFact,Insufficient Evidence of Consent Presented,PC_Criminal,pc,Insufficient Evidence of Consent Presented,,,,,,,,
PC::Delay in FIR Lodging Not Justified as Ground for Acquittal,CaseFact,Delay in FIR Lodging Not Justified as Ground for Acquittal,PC_Criminal,pc,Delay in FIR Lodging Not Justified as Ground for Acquittal,,,,,,,,
"PC::Sections 376 and 323 of the Indian Penal Code, 1860",LegalProvision,"Sections 376 and 323 of the Indian Penal Code, 1860",PC_Criminal,pc,"Sections 376 and 323 of the Indian Penal Code, 1860",,,,,,,,
PC::Appellant Convicted for Cheating,CaseFact,Appellant Convicted for Cheating,PC_Criminal,pc,Appellant Convicted for Cheating,,,,,,,,
PC::Appellant Surrendered and Served 1 Year and 9 Months,CaseFact,Appellant Surrendered and Served 1 Year and 9 Months,PC_Criminal,pc,Appellant Surrendered and Served 1 Year and 9 Months,,,,,,,,
PC::Sentence Already Undergone Meets Ends of Justice,CaseFact,Sentence Already Undergone Meets Ends of Justice,PC_Criminal,pc,Sentence Already Undergone Meets Ends of Justice,,,,,,,,
PC::Death of Deceased Balkishan,CaseFact,Death of Deceased Balkishan,PC_Criminal,pc,Death of Deceased Balkishan,,,,,,,,
PC::Accused Attacked Victims to Prevent Cattle from Being Taken,CaseFact,Accused Attacked Victims to Prevent Cattle from Being Taken,PC_Criminal,pc,Accused Attacked Victims to Prevent Cattle from Being Taken,,,,,,,,
PC::High Court Found Inconsistency in Evidence,CaseFact,High Court Found Inconsistency in Evidence,PC_Criminal,pc,High Court Found Inconsistency in Evidence,,,,,,,,
"PC::Sections 147, 148, 149, 323, 324 and 406 of the Indian Penal Code, 1860",LegalProvision,"Sections 147, 148, 149, 323, 324 and 406 of the Indian Penal Code, 1860",PC_Criminal,pc,"Sections 147, 148, 149, 323, 324 and 406 of the Indian Penal Code, 1860",,,,,,,,
"PC::Section 302 read with Section 149 of the Indian Penal Code, 1860",LegalProvision,"Section 302 read with Section 149 of the Indian Penal Code, 1860",PC_Criminal,pc,"Section 302 read with Section 149 of the Indian Penal Code, 1860",,,,,,,,
PC::Publication Agreement Executed,CaseFact,Publication Agreement Executed,PC_Criminal,pc,Publication Agreement Executed,,,,,,,,
PC::Demand for Book Decreased,CaseFact,Demand for Book Decreased,PC_Criminal,pc,Demand for Book Decreased,,,,,,,,
PC::Appellant Reluctant to Publish Further Editions,CaseFact,Appellant Reluctant to Publish Further Editions,PC_Criminal,pc,Appellant Reluctant to Publish Further Editions,,,,,,,,
PC::Respondent Terminated Agreement,CaseFact,Respondent Terminated Agreement,PC_Criminal,pc,Respondent Terminated Agreement,,,,,,,,
PC::Dispute Over Publication Rights,CaseFact,Dispute Over Publication Rights,PC_Criminal,pc,Dispute Over Publication Rights,,,,,,,,
PC::Civil Suit Pending Regarding Publication Issues,CaseFact,Civil Suit Pending Regarding Publication Issues,PC_Criminal,pc,Civil Suit Pending Regarding Publication Issues,,,,,,,,
PC::Section 19A of the Copyright Act,LegalProvision,Section 19A of the Copyright Act,PC_Criminal,pc,Section 19A of the Copyright Act,,,,,,,,
"PC::Sections 8 and 11 of the Arbitration and Conciliation Act, 1996",LegalProvision,"Sections 8 and 11 of the Arbitration and Conciliation Act, 1996",PC_Criminal,pc,"Sections 8 and 11 of the Arbitration and Conciliation Act, 1996",,,,,,,,
PC::Writ Petitions Dismissed on Ground of Delay,CaseFact,Writ Petitions Dismissed on Ground of Delay,PC_Criminal,pc,Writ Petitions Dismissed on Ground of Delay,,,,,,,,
PC::Outstanding Liabilities to be Cleared,CaseFact,Outstanding Liabilities to be Cleared,PC_Criminal,pc,Outstanding Liabilities to be Cleared,,,,,,,,
PC::Monthly Returns Required to be Filed,CaseFact,Monthly Returns Required to be Filed,PC_Criminal,pc,Monthly Returns Required to be Filed,,,,,,,,
PC::Ex Parte Assessment Orders Issued for Non-Compliance,CaseFact,Ex Parte Assessment Orders Issued for Non-Compliance,PC_Criminal,pc,Ex Parte Assessment Orders Issued for Non-Compliance,,,,,,,,
PC::Single Judge Found Appellant Guilty,CaseFact,Single Judge Found Appellant Guilty,PC_Criminal,pc,Single Judge Found Appellant Guilty,,,,,,,,
PC::Appellant Contended Section 50 of NDPS Act Not Followed,LegalProvision,Appellant Contended Section 50 of NDPS Act Not Followed,PC_Criminal,pc,Appellant Contended Section 50 of NDPS Act Not Followed,,,,,,,,
PC::Single Judge Disposed of Appeal Without Reasons,CaseFact,Single Judge Disposed of Appeal Without Reasons,PC_Criminal,pc,Single Judge Disposed of Appeal Without Reasons,,,,,,,,
PC::Victim Died Due to Injuries,CaseFact,Victim Died Due to Injuries,PC_Criminal,pc,Victim Died Due to Injuries,,,,,,,,
PC::Injuries to Victim Proven Homicidal,CaseFact,Injuries to Victim Proven Homicidal,PC_Criminal,pc,Injuries to Victim Proven Homicidal,,,,,,,,
PC::Accused Denied Committing Offence,CaseFact,Accused Denied Committing Offence,PC_Criminal,pc,Accused Denied Committing Offence,,,,,,,,
PC::High Court Acquitted One Accused,CaseFact,High Court Acquitted One Accused,PC_Criminal,pc,High Court Acquitted One Accused,,,,,,,,
PC::Benefit of Doubt Argument Raised,CaseFact,Benefit of Doubt Argument Raised,PC_Criminal,pc,Benefit of Doubt Argument Raised,,,,,,,,
"PC::Sections 148, 302 read with 149 of the Indian Penal Code, 1860",LegalProvision,"Sections 148, 302 read with 149 of the Indian Penal Code, 1860",PC_Criminal,pc,"Sections 148, 302 read with 149 of the Indian Penal Code, 1860",,,,,,,,
"PC::Section 326 read with Section 149 of the Indian Penal Code, 1860",LegalProvision,"Section 326 read with Section 149 of the Indian Penal Code, 1860",PC_Criminal,pc,"Section 326 read with Section 149 of the Indian Penal Code, 1860",,,,,,,,
PC::Bail Application Rejected Due to Possession of Firearms,CaseFact,Bail Application Rejected Due to Possession of Firearms,PC_Criminal,pc,Bail Application Rejected Due to Possession of Firearms,,,,,,,,
PC::Criminal Conspiracy Alleged Against Appellant,CaseFact,Criminal Conspiracy Alleged Against Appellant,PC_Criminal,pc,Criminal Conspiracy Alleged Against Appellant,,,,,,,,
PC::Prima Facie Evidence Against Appellant Established,CaseFact,Prima Facie Evidence Against Appellant Established,PC_Criminal,pc,Prima Facie Evidence Against Appellant Established,,,,,,,,
"PC::Section 34 of the Prevention of Terrorism Act, 2002",LegalProvision,"Section 34 of the Prevention of Terrorism Act, 2002",PC_Criminal,pc,"Section 34 of the Prevention of Terrorism Act, 2002",,,,,,,,
"PC::Section 49 of the Prevention of Terrorism Act, 2002",LegalProvision,"Section 49 of the Prevention of Terrorism Act, 2002",PC_Criminal,pc,"Section 49 of the Prevention of Terrorism Act, 2002",,,,,,,,
PC::Payment Ordered to Respondent,CaseFact,Payment Ordered to Respondent,PC_Criminal,pc,Payment Ordered to Respondent,,,,,,,,
PC::Settlement of Dues and Disputes Directed,CaseFact,Settlement of Dues and Disputes Directed,PC_Criminal,pc,Settlement of Dues and Disputes Directed,,,,,,,,
PC::Criminal Proceedings to Cease Upon Compliance,CaseFact,Criminal Proceedings to Cease Upon Compliance,PC_Criminal,pc,Criminal Proceedings to Cease Upon Compliance,,,,,,,,
PC::Writ Petition Allowed for Defendant to Contest,CaseFact,Writ Petition Allowed for Defendant to Contest,PC_Criminal,pc,Writ Petition Allowed for Defendant to Contest,,,,,,,,
PC::Delay in Filing Written Statement Not Justified,CaseFact,Delay in Filing Written Statement Not Justified,PC_Criminal,pc,Delay in Filing Written Statement Not Justified,,,,,,,,
PC::Trial Court Found Sufficient Reasons for Orders,CaseFact,Trial Court Found Sufficient Reasons for Orders,PC_Criminal,pc,Trial Court Found Sufficient Reasons for Orders,,,,,,,,
PC::Order 8 Rule 1 of the Code of Civil Procedure,LegalProvision,Order 8 Rule 1 of the Code of Civil Procedure,PC_Criminal,pc,Order 8 Rule 1 of the Code of Civil Procedure,,,,,,,,
"PC::Kailash Vs. Nanhku, 2005 4 SCC 480",CaseLaw,"Kailash Vs. Nanhku, 2005 4 SCC 480",PC_Criminal,pc,"Kailash Vs. Nanhku, 2005 4 SCC 480",,,,,,,,
PC::Employee Worked Beyond Retirement Date,CaseFact,Employee Worked Beyond Retirement Date,PC_Criminal,pc,Employee Worked Beyond Retirement Date,,,,,,,,
PC::Two Dates of Birth Recorded,CaseFact,Two Dates of Birth Recorded,PC_Criminal,pc,Two Dates of Birth Recorded,,,,,,,,
PC::No Fraud or Misrepresentation Established,CaseFact,No Fraud or Misrepresentation Established,PC_Criminal,pc,No Fraud or Misrepresentation Established,,,,,,,,
PC::Recovery of Salary Ordered,CaseFact,Recovery of Salary Ordered,PC_Criminal,pc,Recovery of Salary Ordered,,,,,,,,
