source,target,attributes
PC::Principal Denied Condonation Based on Regulations,PC::Regulation 4.1 of Academic Regulations,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Principal Denied Condonation Based on Regulations,PC::Regulation 4.2 of Academic Regulations,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Principal Denied Condonation Based on Regulations,PC::Regulation 4.3 of Academic Regulations,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Principal Denied Condonation Based on Regulations,HKG::BTC_22,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Principal Denied Condonation Based on Regulations,HKG::BTC_33,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Principal Denied Condonation Based on Regulations,HKG::BTC_253,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Filed Against Attendance Condonation,PC::High Court Allowed Writ Petition,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Found Good Academic Record,PC::High Court Allowed Writ Petition,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Found Good Academic Record,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.1 of Academic Regulations,HKG::BTC_33,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.1 of Academic Regulations,HKG::BTC_253,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.1 of Academic Regulations,HKG::BTC_324,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.2 of Academic Regulations,HKG::BTC_33,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.2 of Academic Regulations,HKG::BTC_253,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.2 of Academic Regulations,HKG::BTC_324,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.3 of Academic Regulations,HKG::BTC_33,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.3 of Academic Regulations,HKG::BTC_253,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Regulation 4.3 of Academic Regulations,HKG::BTC_324,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Accused Denied Charges,PC::Section 313 of the Criminal Procedure Code,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Prosecution Witnesses Examined,PC::Evidence of Murder Presented,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Prosecution Witnesses Examined,HKG::LIM_74,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 379 of the Indian Penal Code,HKG::FIN_A_1952,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 379 of the Indian Penal Code,HKG::FIN_A_167,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 379 of the Indian Penal Code,HKG::FIN_A_169,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 313 of the Criminal Procedure Code,HKG::EC_RULES_17,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 313 of the Criminal Procedure Code,HKG::LIM_118,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 313 of the Criminal Procedure Code,HKG::SOC_REG_22,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Injury Sustained by Employee,PC::Employee Worked as Press Operator,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Employee Worked as Press Operator,PC::Appeal Dismissed in Limine,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Agreement for Supply of Goods Disputed,PC::Increased Price Claimed by Appellants,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Agreement for Supply of Goods Disputed,HKG::EC_RULES_75,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Agreement for Supply of Goods Disputed,HKG::FIN_A_39,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Agreement for Supply of Goods Disputed,HKG::FIN_A_40,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Increased Price Claimed by Appellants,PC::Absence of Agreement Document Affects Claim,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Absence of Agreement Document Affects Claim,PC::Article 226 of the Constitution of India,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Absence of Agreement Document Affects Claim,HKG::EC_RULES_75,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Absence of Agreement Document Affects Claim,HKG::FIN_A_39,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Absence of Agreement Document Affects Claim,HKG::FIN_A_40,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellant Granted Extension to Deposit Amount,PC::Trial Court Denied Permission for Late Deposit,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellant Granted Extension to Deposit Amount,"PC::Section 20 of the Specific Relief Act, 1963","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Trial Court Denied Permission for Late Deposit,PC::High Court Declined to Interfere with Trial Court Order,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::High Court Declined to Interfere with Trial Court Order,HKG::LIM_133,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellant Deposited Amount After Court Direction,PC::Trial Court Denied Permission for Late Deposit,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Appellant Deposited Amount After Court Direction,HKG::LIM_71,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 20 of the Specific Relief Act, 1963",HKG::Specific Relief Act 1963,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 20 of the Specific Relief Act, 1963",HKG::SRA_4,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 20 of the Specific Relief Act, 1963",HKG::SRA_44,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Acquittal Order Challenged by State,PC::Firearm Recovered from Accused's Location,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Acquittal Order Challenged by State,HKG::LIM_114,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Firearm Recovered from Accused's Location,"PC::Section 5 of the Terrorist and Disruptive Activities Prevention Act, 1987","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Caste Certificate Found Forged,PC::Disciplinary Proceedings Initiated for Misconduct,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Caste Certificate Found Forged,HKG::COMP_MA_31,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Caste Certificate Found Forged,HKG::BTC_215,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Caste Certificate Found Forged,HKG::BTC_328,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Stayed Disciplinary Proceedings,PC::High Court Erred in Issuing Rule Nisi,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Stayed Disciplinary Proceedings,HKG::EPF_AT_25,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Stayed Disciplinary Proceedings,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Stayed Disciplinary Proceedings,HKG::FIN_A_15J,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Erred in Issuing Rule Nisi,HKG::LIM_133,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Employee Insurance Court Found Financial Constraints,PC::Damages Imposed for Delayed Contributions,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Employee Insurance Court Found Financial Constraints,"PC::Section 85 of the Employees State Insurance Act, 1948","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Employee Insurance Court Found Financial Constraints,HKG::FIN_A_129,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Damages Imposed for Delayed Contributions,PC::High Court Affirmed E.I. Court Decision,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Damages Imposed for Delayed Contributions,"PC::Regional Director, E.S.I. Corporation v. Sakthi Tiles 1994-III-LLJ Suppl -1197 Ker-DB","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Damages Imposed for Delayed Contributions,HKG::ESI_37,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Damages Imposed for Delayed Contributions,HKG::ESI_39,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Damages Imposed for Delayed Contributions,HKG::ESI_68,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Affirmed E.I. Court Decision,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 85 of the Employees State Insurance Act, 1948",HKG::Employees State Insurance Act 1948,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 85 of the Employees State Insurance Act, 1948",HKG::ESI_100,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Section 85 of the Employees State Insurance Act, 1948",HKG::BONUS_RULES_4,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Sales Made Through Dealers After 4-10-1985,PC::Excise Duty Valuation Dispute,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Excise Duty Valuation Dispute,PC::Section 11D of the Central Excise Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Refund Claim Filed by Respondent,PC::Unjust Enrichment Principle Raised,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Refund Claim Filed by Respondent,PC::Mafatlal Industries Ltd. v. Union of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Refund Claim Filed by Respondent,HKG::EPF_AT_4,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 11D of the Central Excise Act,HKG::FIN_A_160,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellate Assistant Commissioner Dismissed Appeal,PC::Tribunal Allowed Appeal on Revenue Expenditure,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellate Assistant Commissioner Dismissed Appeal,HKG::EC_RULES_58,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellate Assistant Commissioner Dismissed Appeal,HKG::EC_RULES_59,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellate Assistant Commissioner Dismissed Appeal,HKG::EC_RULES_60,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Answered Questions in Favor of Revenue,PC::Section 263 of the Income Tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Answered Questions in Favor of Revenue,PC::Section 35-A of the Income Tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Answered Questions in Favor of Revenue,PC::Section 256(1) of the Income Tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Answered Questions in Favor of Revenue,PC::Section 37(1) of the Income Tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Answered Questions in Favor of Revenue,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Additional Income Disclosed by Assessee,PC::Sales Tax Authorities Failed to Establish Tax Liability,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Sales Tax Authorities Failed to Establish Tax Liability,"PC::Girdhari Lal Mannelal v. The Sales Tax Commissioner, Madhya Pradesh","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Sales Tax Authorities Failed to Establish Tax Liability,HKG::LIM_104,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Sales Tax Authorities Failed to Establish Tax Liability,HKG::FIN_A_161,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Sales Tax Authorities Failed to Establish Tax Liability,HKG::FIN_A_185,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Girdhari Lal Mannelal v. The Sales Tax Commissioner, Madhya Pradesh",HKG::EC_RULES_58,"{'type': 'PRECEDENT_OF', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Girdhari Lal Mannelal v. The Sales Tax Commissioner, Madhya Pradesh",HKG::EC_RULES_59,"{'type': 'PRECEDENT_OF', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
"PC::Girdhari Lal Mannelal v. The Sales Tax Commissioner, Madhya Pradesh",HKG::EC_RULES_60,"{'type': 'PRECEDENT_OF', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Arbitration Petition Filed for Extension of Time,PC::Arbitration Proceedings Failed to Resolve Dispute,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Arbitration Proceedings Failed to Resolve Dispute,HKG::EPF_AT_25,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Arbitration Proceedings Failed to Resolve Dispute,HKG::FIN_A_15J,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Parties in Dispute are Related,PC::Arbitration Proceedings Failed to Resolve Dispute,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Court Receiver Appointed for Management of Partnership Affairs,PC::Arbitration Proceedings Failed to Resolve Dispute,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Court Receiver Appointed for Management of Partnership Affairs,HKG::MEPS_36,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Court Receiver Appointed for Management of Partnership Affairs,HKG::MEPS_37,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Court Receiver Appointed for Management of Partnership Affairs,HKG::BTC_4,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Conduct of Respondent Found Dishonest,PC::Demolition Order Challenged Before Tribunal,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Conduct of Respondent Found Dishonest,HKG::EPF_AT_4,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Demolition Order Challenged Before Tribunal,PC::Writ Petition Allowed by High Court,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Tribunal Properly Constituted Under 1980 Act,"PC::Section 391-B of the Calcutta Municipal Act, 1951","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Tribunal Properly Constituted Under 1980 Act,"PC::Section 415 of the Calcutta Municipal Corporation Act, 1980","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Tribunal Properly Constituted Under 1980 Act,"PC::Section 631 of the Calcutta Municipal Corporation Act, 1980","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Claim for Weighted Deduction Under Section 35-B,PC::Expenditure Incurred on Export of Tea from East Africa,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Claim for Weighted Deduction Under Section 35-B,HKG::BTC_144,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Claim for Weighted Deduction Under Section 35-B,HKG::BTC_196,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Expenditure Incurred on Export of Tea from East Africa,HKG::BTC_170,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Expenditure Incurred on Export of Tea from East Africa,HKG::BTC_179,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Expenditure Incurred on Export of Tea from East Africa,HKG::BTC_185,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Found Expenditure Eligible for Deduction,PC::Section 35-B of the Income-tax Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::High Court Found Expenditure Eligible for Deduction,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Found Expenditure Eligible for Deduction,HKG::BTC_144,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Found Expenditure Eligible for Deduction,HKG::BTC_196,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 35-B of the Income-tax Act,HKG::FIN_A_2,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Section 35-B of the Income-tax Act,HKG::FIN_A_189,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellants Filed for Quashing FIR,PC::Investigation Completed and Chargesheet Filed,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Investigation Completed and Chargesheet Filed,HKG::BTC_255,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Investigation Completed and Chargesheet Filed,HKG::IDRA_18,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Appellants Offered to Pay Amount Due,PC::Second Respondent Agreed to Not Oppose Quashing,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Appellants Offered to Pay Amount Due,PC::Section 420 of the Indian Penal Code,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Second Respondent Agreed to Not Oppose Quashing,HKG::EPF_AT_4,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Affidavit Sworn to Ensure Payment,PC::Cheque Handed Over as Undertaking,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Cheque Handed Over as Undertaking,HKG::FIN_A_87,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Disputes Covered by Arbitration Agreement,HKG::EC_RULES_75,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Disputes Covered by Arbitration Agreement,HKG::FIN_A_39,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Disputes Covered by Arbitration Agreement,HKG::FIN_A_40,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Scheduled Caste Candidate Passed Examination,PC::Respondent Not Included in Successful Candidates List,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Scheduled Caste Candidate Passed Examination,HKG::RPSR_1984,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Scheduled Caste Candidate Passed Examination,HKG::RPSR_19,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Scheduled Caste Candidate Passed Examination,HKG::RPSR_26,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Respondent Not Included in Successful Candidates List,HKG::EPF_AT_4,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Respondent Not Included in Successful Candidates List,HKG::RPSR_7,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Respondent Not Included in Successful Candidates List,HKG::RPSR_1984,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Filed for Appointment,PC::High Court Directed Filling of Vacancy,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Writ Petition Filed for Appointment,PC::Respondent Found Eligible for Appointment,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Writ Petition Filed for Appointment,"PC::Section 19 of the Administrative Tribunal Act, 1985","{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Writ Petition Filed for Appointment,HKG::RPSR_3213,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Filed for Appointment,HKG::MEPS_3,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Filed for Appointment,HKG::FIN_A_185,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::High Court Directed Filling of Vacancy,HKG::LIM_133,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::State Challenged High Court Order,PC::Validity of Select List Questioned,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::State Challenged High Court Order,HKG::LIM_133,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Filed Before Expiry of One Year,PC::High Court Directed Filling of Vacancy,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::FIR Registered for Corruption Allegations,PC::Previous Writ Petition Dismissed Regarding FIR Registration,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::FIR Registered for Corruption Allegations,PC::Section 13(1)(d) of the Prevention of Corruption Act,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::FIR Registered for Corruption Allegations,PC::Section 120B IPC,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::FIR Registered for Corruption Allegations,PC::Article 226 of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Previous Writ Petition Dismissed Regarding FIR Registration,HKG::EC_RULES_75,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Previous Writ Petition Dismissed Regarding FIR Registration,HKG::GST_21,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Previous Writ Petition Dismissed Regarding FIR Registration,HKG::KSEA_1,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Political Rivalry Alleged as Motivation for FIR,PC::FIR Registered for Corruption Allegations,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Political Rivalry Alleged as Motivation for FIR,HKG::BTC_201,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Chief Minister Involved in Palmolein Import Controversy,PC::FIR Registered for Corruption Allegations,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Preliminary Enquiry Conducted Prior to FIR Registration,PC::FIR Registered for Corruption Allegations,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Preliminary Enquiry Conducted Prior to FIR Registration,HKG::ERA_18,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Preliminary Enquiry Conducted Prior to FIR Registration,HKG::ESI_100,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Preliminary Enquiry Conducted Prior to FIR Registration,HKG::ISM_36,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::New Evidence Discovered During Preliminary Enquiry,PC::FIR Registered for Corruption Allegations,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
