node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Sainik Schools Funded by State Government,CaseFact,Sainik Schools Funded by State Government,PC_Labour,pc,Sainik Schools Funded by State Government,,,,,,,,
PC::Dispute Over Retirement Age of Employees,CaseFact,Dispute Over Retirement Age of Employees,PC_Labour,pc,Dispute Over Retirement Age of Employees,,,,,,,,
PC::Claims for Various Employee Benefits,CaseFact,Claims for Various Employee Benefits,PC_Labour,pc,Claims for Various Employee Benefits,,,,,,,,
PC::Claims for Gratuity and Pension Established,CaseFact,Claims for Gratuity and Pension Established,PC_Labour,pc,Claims for Gratuity and Pension Established,,,,,,,,
PC::High Court Directed Implementation of Benefits from 1.4.1988,CaseFact,High Court Directed Implementation of Benefits from 1.4.1988,PC_Labour,pc,High Court Directed Implementation of Benefits from 1.4.1988,,,,,,,,
PC::Employee Claimed Illegal Termination,CaseFact,Employee Claimed Illegal Termination,PC_Labour,pc,Employee Claimed Illegal Termination,,,,,,,,
PC::Trial Court Awarded Damages for Termination,CaseFact,Trial Court Awarded Damages for Termination,PC_Labour,pc,Trial Court Awarded Damages for Termination,,,,,,,,
PC::Employee Entitled to Continue Until Age of 60,CaseFact,Employee Entitled to Continue Until Age of 60,PC_Labour,pc,Employee Entitled to Continue Until Age of 60,,,,,,,,
PC::Employee Claimed Protection Under Article 311,LegalProvision,Employee Claimed Protection Under Article 311,PC_Labour,pc,Employee Claimed Protection Under Article 311,,,,,,,,
"PC::Central Civil Services Classification Control and Appeal Rules, 1965",LegalProvision,"Central Civil Services Classification Control and Appeal Rules, 1965",PC_Labour,pc,"Central Civil Services Classification Control and Appeal Rules, 1965",,,,,,,,
PC::Compliance with Employees Provident Fund Act,LegalProvision,Compliance with Employees Provident Fund Act,PC_Labour,pc,Compliance with Employees Provident Fund Act,,,,,,,,
PC::Payment of Arrears Ordered,CaseFact,Payment of Arrears Ordered,PC_Labour,pc,Payment of Arrears Ordered,,,,,,,,
PC::No Damages for Delayed Payment,CaseFact,No Damages for Delayed Payment,PC_Labour,pc,No Damages for Delayed Payment,,,,,,,,
PC::Rule 5-C Struck Down as Ultra Vires,LegalProvision,Rule 5-C Struck Down as Ultra Vires,PC_Labour,pc,Rule 5-C Struck Down as Ultra Vires,,,,,,,,
PC::Section 280 of the Cantonment Act,LegalProvision,Section 280 of the Cantonment Act,PC_Labour,pc,Section 280 of the Cantonment Act,,,,,,,,
PC::Transfer of Employee Challenged,CaseFact,Transfer of Employee Challenged,PC_Labour,pc,Transfer of Employee Challenged,,,,,,,,
PC::Cantonment Boards Considered Autonomous Bodies,CaseFact,Cantonment Boards Considered Autonomous Bodies,PC_Labour,pc,Cantonment Boards Considered Autonomous Bodies,,,,,,,,
PC::Service Under Cantonment Board Not Centralized,CaseFact,Service Under Cantonment Board Not Centralized,PC_Labour,pc,Service Under Cantonment Board Not Centralized,,,,,,,,
PC::Employee Transferred from Lucknow to Varanasi,CaseFact,Employee Transferred from Lucknow to Varanasi,PC_Labour,pc,Employee Transferred from Lucknow to Varanasi,,,,,,,,
PC::Disciplinary Authority Reduced Rank of Government Servant,CaseFact,Disciplinary Authority Reduced Rank of Government Servant,PC_Labour,pc,Disciplinary Authority Reduced Rank of Government Servant,,,,,,,,
PC::Penalty of Reduction Imposed for Misconduct,CaseFact,Penalty of Reduction Imposed for Misconduct,PC_Labour,pc,Penalty of Reduction Imposed for Misconduct,,,,,,,,
PC::Employee Challenged Legality of Reduction,CaseFact,Employee Challenged Legality of Reduction,PC_Labour,pc,Employee Challenged Legality of Reduction,,,,,,,,
PC::Divergence of Judicial Opinion on Rank Reduction,CaseFact,Divergence of Judicial Opinion on Rank Reduction,PC_Labour,pc,Divergence of Judicial Opinion on Rank Reduction,,,,,,,,
"PC::Rule 11 of the Central Civil Service Classification, Control and Appeal Rules, 1965",LegalProvision,"Rule 11 of the Central Civil Service Classification, Control and Appeal Rules, 1965",PC_Labour,pc,"Rule 11 of the Central Civil Service Classification, Control and Appeal Rules, 1965",,,,,,,,
PC::Rule 4 of the Special Rules,LegalProvision,Rule 4 of the Special Rules,PC_Labour,pc,Rule 4 of the Special Rules,,,,,,,,
PC::Direct Recruits Challenged Regularization of Promotees,CaseFact,Direct Recruits Challenged Regularization of Promotees,PC_Labour,pc,Direct Recruits Challenged Regularization of Promotees,,,,,,,,
PC::Dispute Over Recruitment Rules for Assistant Engineers,LegalProvision,Dispute Over Recruitment Rules for Assistant Engineers,PC_Labour,pc,Dispute Over Recruitment Rules for Assistant Engineers,,,,,,,,
PC::Promotees Regularized Without Authority,CaseFact,Promotees Regularized Without Authority,PC_Labour,pc,Promotees Regularized Without Authority,,,,,,,,
PC::Direct Recruits Claim Prejudice in Promotion,CaseFact,Direct Recruits Claim Prejudice in Promotion,PC_Labour,pc,Direct Recruits Claim Prejudice in Promotion,,,,,,,,
PC::State Government Failed to Comply with Recruitment Rules,LegalProvision,State Government Failed to Comply with Recruitment Rules,PC_Labour,pc,State Government Failed to Comply with Recruitment Rules,,,,,,,,
PC::Inquiry Found No Justification for Regularization,CaseFact,Inquiry Found No Justification for Regularization,PC_Labour,pc,Inquiry Found No Justification for Regularization,,,,,,,,
PC::Senior Engineers Claim Discrimination in Seniority Assignment,CaseFact,Senior Engineers Claim Discrimination in Seniority Assignment,PC_Labour,pc,Senior Engineers Claim Discrimination in Seniority Assignment,,,,,,,,
"PC::Andhra Pradesh State and Subordinate Services Rules, 1962",LegalProvision,"Andhra Pradesh State and Subordinate Services Rules, 1962",PC_Labour,pc,"Andhra Pradesh State and Subordinate Services Rules, 1962",,,,,,,,
PC::Andhra Pradesh Roads and Buildings Engineering Service Rules,LegalProvision,Andhra Pradesh Roads and Buildings Engineering Service Rules,PC_Labour,pc,Andhra Pradesh Roads and Buildings Engineering Service Rules,,,,,,,,
PC::Departmental Inquiry Found Inconclusive,CaseFact,Departmental Inquiry Found Inconclusive,PC_Labour,pc,Departmental Inquiry Found Inconclusive,,,,,,,,
PC::Allegations of Malafides Raised Against Superintendent,CaseFact,Allegations of Malafides Raised Against Superintendent,PC_Labour,pc,Allegations of Malafides Raised Against Superintendent,,,,,,,,
PC::Employee Claimed Reinstatement and Back Wages,CaseFact,Employee Claimed Reinstatement and Back Wages,PC_Labour,pc,Employee Claimed Reinstatement and Back Wages,,,,,,,,
PC::Section 311 of the Constitution of India,LegalProvision,Section 311 of the Constitution of India,PC_Labour,pc,Section 311 of the Constitution of India,,,,,,,,
PC::Section 100 of the Code of Civil Procedure,LegalProvision,Section 100 of the Code of Civil Procedure,PC_Labour,pc,Section 100 of the Code of Civil Procedure,,,,,,,,
PC::Promotion Eligibility Based on Service Duration,CaseFact,Promotion Eligibility Based on Service Duration,PC_Labour,pc,Promotion Eligibility Based on Service Duration,,,,,,,,
PC::Appellants Claimed Seniority Over Respondents,CaseFact,Appellants Claimed Seniority Over Respondents,PC_Labour,pc,Appellants Claimed Seniority Over Respondents,,,,,,,,
PC::High Court Found Seniority Based on Date of Appointment,CaseFact,High Court Found Seniority Based on Date of Appointment,PC_Labour,pc,High Court Found Seniority Based on Date of Appointment,,,,,,,,
PC::Government Order on Promotion Consideration,LegalProvision,Government Order on Promotion Consideration,PC_Labour,pc,Government Order on Promotion Consideration,,,,,,,,
PC::Rule 33A of General Rules for Andhra Pradesh State and Subordinate Services,LegalProvision,Rule 33A of General Rules for Andhra Pradesh State and Subordinate Services,PC_Labour,pc,Rule 33A of General Rules for Andhra Pradesh State and Subordinate Services,,,,,,,,
PC::Building Subject to U.P. Urban Buildings Act,LegalProvision,Building Subject to U.P. Urban Buildings Act,PC_Labour,pc,Building Subject to U.P. Urban Buildings Act,,,,,,,,
PC::High Court Dismissed Writ Petition Against License Grant,CaseFact,High Court Dismissed Writ Petition Against License Grant,PC_Labour,pc,High Court Dismissed Writ Petition Against License Grant,,,,,,,,
PC::Landlords Obtained Possession from Previous Tenants,CaseFact,Landlords Obtained Possession from Previous Tenants,PC_Labour,pc,Landlords Obtained Possession from Previous Tenants,,,,,,,,
PC::Lease Agreement Executed for Cinema Building,CaseFact,Lease Agreement Executed for Cinema Building,PC_Labour,pc,Lease Agreement Executed for Cinema Building,,,,,,,,
PC::Building Claimed to be Exempt from Act Provisions,LegalProvision,Building Claimed to be Exempt from Act Provisions,PC_Labour,pc,Building Claimed to be Exempt from Act Provisions,,,,,,,,
PC::High Court Found No Locus Standi for Appellant,CaseFact,High Court Found No Locus Standi for Appellant,PC_Labour,pc,High Court Found No Locus Standi for Appellant,,,,,,,,
"PC::Section 21(d) of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",LegalProvision,"Section 21(d) of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",PC_Labour,pc,"Section 21(d) of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",,,,,,,,
"PC::Section 13 of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",LegalProvision,"Section 13 of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",PC_Labour,pc,"Section 13 of the U.P. Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972",,,,,,,,
PC::Employee Joined Judicial Service,CaseFact,Employee Joined Judicial Service,PC_Labour,pc,Employee Joined Judicial Service,,,,,,,,
PC::Employee Promoted to Additional District Sessions Judge,CaseFact,Employee Promoted to Additional District Sessions Judge,PC_Labour,pc,Employee Promoted to Additional District Sessions Judge,,,,,,,,
PC::Employee Sent on Deputation,CaseFact,Employee Sent on Deputation,PC_Labour,pc,Employee Sent on Deputation,,,,,,,,
PC::Employee Challenged Supersession,CaseFact,Employee Challenged Supersession,PC_Labour,pc,Employee Challenged Supersession,,,,,,,,
PC::Employee Claims Violation of Seniority,CaseFact,Employee Claims Violation of Seniority,PC_Labour,pc,Employee Claims Violation of Seniority,,,,,,,,
PC::Direct Recruits Challenged Promotion Criteria,CaseFact,Direct Recruits Challenged Promotion Criteria,PC_Labour,pc,Direct Recruits Challenged Promotion Criteria,,,,,,,,
PC::Employee Claims Equal Opportunity for Promotion,CaseFact,Employee Claims Equal Opportunity for Promotion,PC_Labour,pc,Employee Claims Equal Opportunity for Promotion,,,,,,,,
PC::Petitioners Challenged Nationalisation Act,LegalProvision,Petitioners Challenged Nationalisation Act,PC_Labour,pc,Petitioners Challenged Nationalisation Act,,,,,,,,
PC::Petitioners Claimed Mills No Longer Textile Undertaking,CaseFact,Petitioners Claimed Mills No Longer Textile Undertaking,PC_Labour,pc,Petitioners Claimed Mills No Longer Textile Undertaking,,,,,,,,
PC::Management of Mills Taken Over by Government,CaseFact,Management of Mills Taken Over by Government,PC_Labour,pc,Management of Mills Taken Over by Government,,,,,,,,
PC::Petitioners Alleged Closure of Mills,CaseFact,Petitioners Alleged Closure of Mills,PC_Labour,pc,Petitioners Alleged Closure of Mills,,,,,,,,
PC::Petitioners Filed Writ Petition Against Act,LegalProvision,Petitioners Filed Writ Petition Against Act,PC_Labour,pc,Petitioners Filed Writ Petition Against Act,,,,,,,,
PC::Writ Petition Dismissed by High Court,CaseFact,Writ Petition Dismissed by High Court,PC_Labour,pc,Writ Petition Dismissed by High Court,,,,,,,,
PC::Section 2(j) of the Sick Textile Undertakings Nationalisation Act,LegalProvision,Section 2(j) of the Sick Textile Undertakings Nationalisation Act,PC_Labour,pc,Section 2(j) of the Sick Textile Undertakings Nationalisation Act,,,,,,,,
PC::Article 31-B of the Constitution of India,LegalProvision,Article 31-B of the Constitution of India,PC_Labour,pc,Article 31-B of the Constitution of India,,,,,,,,
PC::Trust Managed College Closed,CaseFact,Trust Managed College Closed,PC_Labour,pc,Trust Managed College Closed,,,,,,,,
PC::Teachers Terminated Due to College Closure,CaseFact,Teachers Terminated Due to College Closure,PC_Labour,pc,Teachers Terminated Due to College Closure,,,,,,,,
PC::Teachers Claimed Terminal Benefits,CaseFact,Teachers Claimed Terminal Benefits,PC_Labour,pc,Teachers Claimed Terminal Benefits,,,,,,,,
PC::Management Resisted Payment of Dues,CaseFact,Management Resisted Payment of Dues,PC_Labour,pc,Management Resisted Payment of Dues,,,,,,,,
PC::High Court Ordered Payment of Salary and Benefits,CaseFact,High Court Ordered Payment of Salary and Benefits,PC_Labour,pc,High Court Ordered Payment of Salary and Benefits,,,,,,,,
PC::Ordinance 120E,CaseFact,Ordinance 120E,PC_Labour,pc,Ordinance 120E,,,,,,,,
PC::Chancellor Award on Pay Scales,CaseFact,Chancellor Award on Pay Scales,PC_Labour,pc,Chancellor Award on Pay Scales,,,,,,,,
PC::Judicial Review of Legislation Scope,CaseFact,Judicial Review of Legislation Scope,PC_Labour,pc,Judicial Review of Legislation Scope,,,,,,,,
PC::Acquisition of Electric Supply Undertakings,CaseFact,Acquisition of Electric Supply Undertakings,PC_Labour,pc,Acquisition of Electric Supply Undertakings,,,,,,,,
PC::Legislative Amendments to Indian Electricity Act,LegalProvision,Legislative Amendments to Indian Electricity Act,PC_Labour,pc,Legislative Amendments to Indian Electricity Act,,,,,,,,
PC::Legislative Protection under Article 31C,LegalProvision,Legislative Protection under Article 31C,PC_Labour,pc,Legislative Protection under Article 31C,,,,,,,,
PC::Nexus Between Legislation and Directive Principles,CaseFact,Nexus Between Legislation and Directive Principles,PC_Labour,pc,Nexus Between Legislation and Directive Principles,,,,,,,,
PC::Article 31C of the Constitution of India,LegalProvision,Article 31C of the Constitution of India,PC_Labour,pc,Article 31C of the Constitution of India,,,,,,,,
"PC::Indian Electricity Act, 1910",LegalProvision,"Indian Electricity Act, 1910",PC_Labour,pc,"Indian Electricity Act, 1910",,,,,,,,
"PC::Assam Electricity Amendment Act, 1973",LegalProvision,"Assam Electricity Amendment Act, 1973",PC_Labour,pc,"Assam Electricity Amendment Act, 1973",,,,,,,,
PC::Compulsory Acquisition of Undertakings,CaseFact,Compulsory Acquisition of Undertakings,PC_Labour,pc,Compulsory Acquisition of Undertakings,,,,,,,,
"PC::Tinsukhia Dibrugarh Electric Supply Undertakings Acquisition Act, 1973",LegalProvision,"Tinsukhia Dibrugarh Electric Supply Undertakings Acquisition Act, 1973",PC_Labour,pc,"Tinsukhia Dibrugarh Electric Supply Undertakings Acquisition Act, 1973",,,,,,,,
PC::Agreement for Sale or Sole Selling Agency Disputed,CaseFact,Agreement for Sale or Sole Selling Agency Disputed,PC_Labour,pc,Agreement for Sale or Sole Selling Agency Disputed,,,,,,,,
PC::Appellants Claimed Refund of Excess Excise Duty,CaseFact,Appellants Claimed Refund of Excess Excise Duty,PC_Labour,pc,Appellants Claimed Refund of Excess Excise Duty,,,,,,,,
PC::Tribunal Found Title to Goods Remained with Appellants,CaseFact,Tribunal Found Title to Goods Remained with Appellants,PC_Labour,pc,Tribunal Found Title to Goods Remained with Appellants,,,,,,,,
PC::Tribunal Analyzed Agreement Terms,CaseFact,Tribunal Analyzed Agreement Terms,PC_Labour,pc,Tribunal Analyzed Agreement Terms,,,,,,,,
PC::Selling Agents Claimed as Related Persons,CaseFact,Selling Agents Claimed as Related Persons,PC_Labour,pc,Selling Agents Claimed as Related Persons,,,,,,,,
PC::Section 4 of the Indian Contract Act,LegalProvision,Section 4 of the Indian Contract Act,PC_Labour,pc,Section 4 of the Indian Contract Act,,,,,,,,
PC::Principle of Sale and Agency Distinction,CaseFact,Principle of Sale and Agency Distinction,PC_Labour,pc,Principle of Sale and Agency Distinction,,,,,,,,
PC::Selection Process for Medical Colleges Challenged,CaseFact,Selection Process for Medical Colleges Challenged,PC_Labour,pc,Selection Process for Medical Colleges Challenged,,,,,,,,
PC::High Court Found Selection Invalid,CaseFact,High Court Found Selection Invalid,PC_Labour,pc,High Court Found Selection Invalid,,,,,,,,
PC::Statutory Body for Selection Not Constituted,CaseFact,Statutory Body for Selection Not Constituted,PC_Labour,pc,Statutory Body for Selection Not Constituted,,,,,,,,
PC::Previous Court Directions Not Followed,CaseFact,Previous Court Directions Not Followed,PC_Labour,pc,Previous Court Directions Not Followed,,,,,,,,
PC::Government Issued New Order for Selection,LegalProvision,Government Issued New Order for Selection,PC_Labour,pc,Government Issued New Order for Selection,,,,,,,,
PC::Writ Petitions Filed Against Selection,CaseFact,Writ Petitions Filed Against Selection,PC_Labour,pc,Writ Petitions Filed Against Selection,,,,,,,,
PC::High Court Directed Reconstitution of Selection Authority,CaseFact,High Court Directed Reconstitution of Selection Authority,PC_Labour,pc,High Court Directed Reconstitution of Selection Authority,,,,,,,,
PC::High Court Found Selection Process Lacked Fairness,CaseFact,High Court Found Selection Process Lacked Fairness,PC_Labour,pc,High Court Found Selection Process Lacked Fairness,,,,,,,,
PC::Article 246 of the Constitution of India,LegalProvision,Article 246 of the Constitution of India,PC_Labour,pc,Article 246 of the Constitution of India,,,,,,,,
PC::Article 162 of the Constitution of India,LegalProvision,Article 162 of the Constitution of India,PC_Labour,pc,Article 162 of the Constitution of India,,,,,,,,
PC::Entry 25 of List III of the Seventh Schedule,LegalProvision,Entry 25 of List III of the Seventh Schedule,PC_Labour,pc,Entry 25 of List III of the Seventh Schedule,,,,,,,,
PC::Jyotshana Sharma v. State of Jammu Kashmir,CaseLaw,Jyotshana Sharma v. State of Jammu Kashmir,PC_Labour,pc,Jyotshana Sharma v. State of Jammu Kashmir,,,,,,,,
PC::SRO 291 of 1987,CaseFact,SRO 291 of 1987,PC_Labour,pc,SRO 291 of 1987,,,,,,,,
PC::SRO 460A of 1988,CaseFact,SRO 460A of 1988,PC_Labour,pc,SRO 460A of 1988,,,,,,,,
PC::State Government Annulled Tribunal Judgments,CaseFact,State Government Annulled Tribunal Judgments,PC_Labour,pc,State Government Annulled Tribunal Judgments,,,,,,,,
PC::Presidential Order Issued for Local Cadres,LegalProvision,Presidential Order Issued for Local Cadres,PC_Labour,pc,Presidential Order Issued for Local Cadres,,,,,,,,
PC::Amended Rule 3 Challenged for Violating Presidential Order,LegalProvision,Amended Rule 3 Challenged for Violating Presidential Order,PC_Labour,pc,Amended Rule 3 Challenged for Violating Presidential Order,,,,,,,,
PC::Full Bench of Tribunal Struck Down Amended Rule,LegalProvision,Full Bench of Tribunal Struck Down Amended Rule,PC_Labour,pc,Full Bench of Tribunal Struck Down Amended Rule,,,,,,,,
PC::State Government Amended Rule 3 with Retrospective Effect,LegalProvision,State Government Amended Rule 3 with Retrospective Effect,PC_Labour,pc,State Government Amended Rule 3 with Retrospective Effect,,,,,,,,
PC::High Court Found Amended Rule Valid,LegalProvision,High Court Found Amended Rule Valid,PC_Labour,pc,High Court Found Amended Rule Valid,,,,,,,,
PC::State Government Claimed Authority Under Presidential Order,LegalProvision,State Government Claimed Authority Under Presidential Order,PC_Labour,pc,State Government Claimed Authority Under Presidential Order,,,,,,,,
PC::Reduction of Pension and Gratuity Ordered,CaseFact,Reduction of Pension and Gratuity Ordered,PC_Labour,pc,Reduction of Pension and Gratuity Ordered,,,,,,,,
PC::Rule 241-A of Junagadh Rules,LegalProvision,Rule 241-A of Junagadh Rules,PC_Labour,pc,Rule 241-A of Junagadh Rules,,,,,,,,
PC::Rules 188 and 189 of the Bombay Rules,LegalProvision,Rules 188 and 189 of the Bombay Rules,PC_Labour,pc,Rules 188 and 189 of the Bombay Rules,,,,,,,,
PC::Draft Notification Issued for Municipal Corporation,CaseFact,Draft Notification Issued for Municipal Corporation,PC_Labour,pc,Draft Notification Issued for Municipal Corporation,,,,,,,,
PC::Objections Raised Against Merger of Municipal Areas,CaseFact,Objections Raised Against Merger of Municipal Areas,PC_Labour,pc,Objections Raised Against Merger of Municipal Areas,,,,,,,,
PC::Government Excluded Ulhasnagar from Corporation,CaseFact,Government Excluded Ulhasnagar from Corporation,PC_Labour,pc,Government Excluded Ulhasnagar from Corporation,,,,,,,,
PC::High Court Found Exclusion Arbitrary,CaseFact,High Court Found Exclusion Arbitrary,PC_Labour,pc,High Court Found Exclusion Arbitrary,,,,,,,,
PC::High Court Directed Reconsideration of Proposal,CaseFact,High Court Directed Reconsideration of Proposal,PC_Labour,pc,High Court Directed Reconsideration of Proposal,,,,,,,,
PC::Government Assured Hearing for Objectors,CaseFact,Government Assured Hearing for Objectors,PC_Labour,pc,Government Assured Hearing for Objectors,,,,,,,,
PC::Final Notification Issued Without Reconsideration,CaseFact,Final Notification Issued Without Reconsideration,PC_Labour,pc,Final Notification Issued Without Reconsideration,,,,,,,,
"PC::Section 3 of the Bombay Provincial Municipal Corporation Act, 1949",LegalProvision,"Section 3 of the Bombay Provincial Municipal Corporation Act, 1949",PC_Labour,pc,"Section 3 of the Bombay Provincial Municipal Corporation Act, 1949",,,,,,,,
PC::Employee Terminated for Unauthorized Absence,CaseFact,Employee Terminated for Unauthorized Absence,PC_Labour,pc,Employee Terminated for Unauthorized Absence,,,,,,,,
PC::Regulation 16.14 of Jammu Kashmir Industries Employees Service Rules,LegalProvision,Regulation 16.14 of Jammu Kashmir Industries Employees Service Rules,PC_Labour,pc,Regulation 16.14 of Jammu Kashmir Industries Employees Service Rules,,,,,,,,
PC::Employee Reinstated After Suspension,CaseFact,Employee Reinstated After Suspension,PC_Labour,pc,Employee Reinstated After Suspension,,,,,,,,
PC::Ownership Rights Transferred to Central Government,CaseFact,Ownership Rights Transferred to Central Government,PC_Labour,pc,Ownership Rights Transferred to Central Government,,,,,,,,
PC::Claims of Creditors to be Satisfied from Payment,CaseFact,Claims of Creditors to be Satisfied from Payment,PC_Labour,pc,Claims of Creditors to be Satisfied from Payment,,,,,,,,
PC::Interest Accruing on Amounts to Benefit Owners,CaseFact,Interest Accruing on Amounts to Benefit Owners,PC_Labour,pc,Interest Accruing on Amounts to Benefit Owners,,,,,,,,
PC::High Court Found Interest Not Available for Creditors,CaseFact,High Court Found Interest Not Available for Creditors,PC_Labour,pc,High Court Found Interest Not Available for Creditors,,,,,,,,
PC::Disbursement of Amounts to Owners After Meeting Liabilities,CaseFact,Disbursement of Amounts to Owners After Meeting Liabilities,PC_Labour,pc,Disbursement of Amounts to Owners After Meeting Liabilities,,,,,,,,
"PC::Section 18(5) of the Coal Mines Nationalisation Act, 1973",LegalProvision,"Section 18(5) of the Coal Mines Nationalisation Act, 1973",PC_Labour,pc,"Section 18(5) of the Coal Mines Nationalisation Act, 1973",,,,,,,,
"PC::Section 26 of the Coal Mines Nationalisation Act, 1973",LegalProvision,"Section 26 of the Coal Mines Nationalisation Act, 1973",PC_Labour,pc,"Section 26 of the Coal Mines Nationalisation Act, 1973",,,,,,,,
"PC::Section 8 of the Coal Mines Nationalisation Act, 1973",LegalProvision,"Section 8 of the Coal Mines Nationalisation Act, 1973",PC_Labour,pc,"Section 8 of the Coal Mines Nationalisation Act, 1973",,,,,,,,
PC::Claim for Reinstatement and Back Wages,CaseFact,Claim for Reinstatement and Back Wages,PC_Labour,pc,Claim for Reinstatement and Back Wages,,,,,,,,
PC::Civil Court Jurisdiction Disputed,CaseFact,Civil Court Jurisdiction Disputed,PC_Labour,pc,Civil Court Jurisdiction Disputed,,,,,,,,
PC::Section 14(1)(b) of the Specific Relief Act,LegalProvision,Section 14(1)(b) of the Specific Relief Act,PC_Labour,pc,Section 14(1)(b) of the Specific Relief Act,,,,,,,,
PC::Section 9 of the Code of Civil Procedure,LegalProvision,Section 9 of the Code of Civil Procedure,PC_Labour,pc,Section 9 of the Code of Civil Procedure,,,,,,,,
PC::Employee Not Promoted for Two Decades,CaseFact,Employee Not Promoted for Two Decades,PC_Labour,pc,Employee Not Promoted for Two Decades,,,,,,,,
PC::Employee Claims Promotion Under Bye-law,CaseFact,Employee Claims Promotion Under Bye-law,PC_Labour,pc,Employee Claims Promotion Under Bye-law,,,,,,,,
PC::Bye-law 71 b ii,CaseFact,Bye-law 71 b ii,PC_Labour,pc,Bye-law 71 b ii,,,,,,,,
PC::Employee Excluded from Scientific Category,CaseFact,Employee Excluded from Scientific Category,PC_Labour,pc,Employee Excluded from Scientific Category,,,,,,,,
PC::Employee Claims Injustice in Promotion,CaseFact,Employee Claims Injustice in Promotion,PC_Labour,pc,Employee Claims Injustice in Promotion,,,,,,,,
PC::Employee Holds Advanced Degrees,CaseFact,Employee Holds Advanced Degrees,PC_Labour,pc,Employee Holds Advanced Degrees,,,,,,,,
PC::Employee Claims Lack of Opportunity for Advancement,CaseFact,Employee Claims Lack of Opportunity for Advancement,PC_Labour,pc,Employee Claims Lack of Opportunity for Advancement,,,,,,,,
"PC::Administrative Tribunals Act, 1985",LegalProvision,"Administrative Tribunals Act, 1985",PC_Labour,pc,"Administrative Tribunals Act, 1985",,,,,,,,
PC::Promotion Based on Service Rules,LegalProvision,Promotion Based on Service Rules,PC_Labour,pc,Promotion Based on Service Rules,,,,,,,,
PC::Statutory Rules Govern Seniority,LegalProvision,Statutory Rules Govern Seniority,PC_Labour,pc,Statutory Rules Govern Seniority,,,,,,,,
PC::Appointment Dates of Respondents Established,CaseFact,Appointment Dates of Respondents Established,PC_Labour,pc,Appointment Dates of Respondents Established,,,,,,,,
PC::Claim for Seniority Based on Executive Memorandum,CaseFact,Claim for Seniority Based on Executive Memorandum,PC_Labour,pc,Claim for Seniority Based on Executive Memorandum,,,,,,,,
PC::Appellant Appointed Retrospectively,CaseFact,Appellant Appointed Retrospectively,PC_Labour,pc,Appellant Appointed Retrospectively,,,,,,,,
PC::Corporation Denied Opportunity to Produce Evidence,CaseFact,Corporation Denied Opportunity to Produce Evidence,PC_Labour,pc,Corporation Denied Opportunity to Produce Evidence,,,,,,,,
PC::Commissioner Failed to Summon Contractors,CaseFact,Commissioner Failed to Summon Contractors,PC_Labour,pc,Commissioner Failed to Summon Contractors,,,,,,,,
PC::Commissioner Determined Amount Payable,CaseFact,Commissioner Determined Amount Payable,PC_Labour,pc,Commissioner Determined Amount Payable,,,,,,,,
PC::Section 7A of the Employees Provident Fund Act,LegalProvision,Section 7A of the Employees Provident Fund Act,PC_Labour,pc,Section 7A of the Employees Provident Fund Act,,,,,,,,
PC::Workers Engaged by Contractors,CaseFact,Workers Engaged by Contractors,PC_Labour,pc,Workers Engaged by Contractors,,,,,,,,
PC::Temporary Promotions Quashed,CaseFact,Temporary Promotions Quashed,PC_Labour,pc,Temporary Promotions Quashed,,,,,,,,
PC::Disciplinary Proceedings Pending,CaseFact,Disciplinary Proceedings Pending,PC_Labour,pc,Disciplinary Proceedings Pending,,,,,,,,
PC::Exclusion of Seniors from Promotion,CaseFact,Exclusion of Seniors from Promotion,PC_Labour,pc,Exclusion of Seniors from Promotion,,,,,,,,
PC::Claims of Seniors Ignored,CaseFact,Claims of Seniors Ignored,PC_Labour,pc,Claims of Seniors Ignored,,,,,,,,
PC::Promotion Consideration Based on Misconduct,CaseFact,Promotion Consideration Based on Misconduct,PC_Labour,pc,Promotion Consideration Based on Misconduct,,,,,,,,
PC::Government Discretion in Promotions,CaseFact,Government Discretion in Promotions,PC_Labour,pc,Government Discretion in Promotions,,,,,,,,
PC::Employee Claims for Promotion,CaseFact,Employee Claims for Promotion,PC_Labour,pc,Employee Claims for Promotion,,,,,,,,
PC::Employee Claims for Reinstatement,CaseFact,Employee Claims for Reinstatement,PC_Labour,pc,Employee Claims for Reinstatement,,,,,,,,
PC::Rule 4 of the Tamil Nadu State and Subordinate Service Rules,LegalProvision,Rule 4 of the Tamil Nadu State and Subordinate Service Rules,PC_Labour,pc,Rule 4 of the Tamil Nadu State and Subordinate Service Rules,,,,,,,,
PC::Rule 39 of the Tamil Nadu State and Subordinate Service Rules,LegalProvision,Rule 39 of the Tamil Nadu State and Subordinate Service Rules,PC_Labour,pc,Rule 39 of the Tamil Nadu State and Subordinate Service Rules,,,,,,,,
PC::Promotion Claim for Scientists B,CaseFact,Promotion Claim for Scientists B,PC_Labour,pc,Promotion Claim for Scientists B,,,,,,,,
